id small(x y) big(x y)
1 26.5 3.9 15.2 4.6
2 17.1 10.0 2.2 2.7
3 22.4 2.2 4.0 6.3
4 4.4 9.5 15.8 0.5
5 5.7 1.0 10.3 4.7
6 11.4 10.7 1.0 1.0
7 1.6 0.3 15.3 3.7
8 3.1 1.9 11.8 6.2
9 3.1 0.0 20.0 0.0
10 11.0 3.2 19.3 1.2
11 21.1 6.8 3.5 6.0
12 15.3 4.4 0.5 2.9
13 8.0 7.5 20.5 1.4
14 10.65 9.15 18.5 6.6
15 22.6 5.3 11.2 6.5
16 5.1 6.9 13.3 4.0
17 14.9 6.0 0.0 2.8
18 4.1 8.25 12.9 2.3
19 7.4 7.7 17.4 1.9
20 19.5 0.5 10.5 2.5
21 19.5 4.2 9.1 1.6
22 11.0 11.25 18.65 2.0
23 1.1 4.25 17.3 3.75
24 5.0 0.0 22.3 1.65
25 17.5 3.5 2.7 0.9
26 3.3 10.95 10.6 0.0
27 5.6 9.4 17.0 0.0
28 2.1 3.2 14.4 5.6
29 0.7 1.35 14.0 3.4
30 25.5 2.05 10.3 3.2
31 25.0 8.15 0.8 0.0
32 24.8 7.05 10.8 2.6
33 2.45 4.5 8.3 1.35
34 25.6 4.3 5.0 0.0
35 24.1 2.6 4.9 5.5
36 14.0 7.3 4.0 3.5
37 13.7 11.0 22.5 6.05
38 9.85 8.2 20.25 4.75
39 1.3 0.0 13.3 2.0
40 5.8 11.2 14.05 0.25
41 19.6 0.9 9.3 3.1
42 18.1 6.0 5.5 5.9
43 9.8 7.15 20.2 1.2
44 18.6 4.3 7.8 3.4
45 5.2 0.5 15.4 0.9
46 19.3 7.5 9.5 2.55
47 8.8 4.85 16.75 1.2
48 26.5 9.0 12.9 4.1
49 24.8 11.05 11.4 4.1
50 3.5 0.8 10.4 4.1
51 26.3 0.3 1.0 1.6
52 1.1 10.0 7.1 4.2
53 10.6 4.0 20.4 6.7
54 3.5 0.0 14.6 2.65
55 14.2 1.95 22.0 2.15
56 4.5 2.3 18.8 4.1
57 15.15 6.7 2.0 3.6
58 16.5 1.45 4.95 4.25
59 26.2 7.0 9.8 3.8
60 5.35 8.5 15.3 4.0
61 20.8 10.5 0.8 0.0
62 3.85 7.45 15.5 4.0
63 3.3 0.1 13.15 3.4
64 22.3 10.6 1.5 4.0
65 6.7 0.0 18.2 4.95
66 2.3 0.8 12.65 3.2
67 3.5 6.2 16.7 6.1
68 2.0 8.9 11.3 5.1
69 23.7 0.0 4.25 2.95
70 7.1 3.4 18.7 0.1
71 2.4 4.8 10.7 4.3
72 2.6 6.1 20.8 4.4
73 0.8 10.1 16.5 0.3
74 22.7 11.1 8.6 6.4
75 22.3 6.3 0.7 4.0
76 16.8 10.9 4.9 5.6
77 3.3 0.0 17.9 0.4
78 22.6 1.2 7.0 1.6
79 3.7 7.7 18.6 0.4
80 14.2 10.7 1.0 0.6
81 0.9 0.9 10.7 2.0
82 8.8 5.8 18.2 3.2
83 5.7 3.8 14.8 0.1
84 3.0 9.7 16.1 0.9
85 20.5 4.0 6.2 5.1
86 3.7 4.8 15.4 0.9
87 23.4 4.1 9.4 3.4
88 4.2 1.7 9.7 1.3
89 24.2 1.0 6.6 5.8
90 2.4 6.3 21.8 4.2
91 6.6 5.9 14.4 5.8
92 17.4 3.7 5.2 1.9
93 23.2 0.7 11.0 1.6
94 2.0 8.0 18.5 2.1
95 25.2 7.5 9.1 6.2
96 7.2 6.8 16.0 2.7
97 15.8 9.9 0.9 1.3
98 8.5 0.9 9.4 4.3
99 5.5 0.9 2.7 5.6  
